Issue Type,Epic Name,Epic Link,Summary,Description,Priority,Labels,Component,Story Points,Acceptance Criteria
Story,,Thread & Communication,REQ-2.3: Thread Events (Audit Trail),"ThreadEvent records log: created, closed, reopened, assigned, transferred, overdue, edited, merged, linked, unlinked, referred, unreferred. Each event has state, timestamp, staff_id, team_id, and data (JSON for details like old/new values).

Source: include/class.thread.php lines 50-53",Medium,"mosticket,modernization",Communication,5,"- ThreadEvent object captures all 12 event types
- Each event records timestamp, acting staff_id, team_id
- JSON data field stores old/new values for change tracking
- Events are auto-created by ticket lifecycle actions (close, assign, transfer, etc.)
- Events are displayed in chronological order in the ticket timeline
- Events cannot be edited or deleted by non-admin users
- Query by event type returns correct filtered results"
Story,,Thread & Communication,REQ-2.4: Collaborators,"Collaborators are end-users (besides the ticket owner) included in communications. Each has a FLAG_ACTIVE (0x0001) toggle controlling whether they receive CC notifications. Collaborators are linked to the Thread, not the Ticket directly.

Source: include/class.collaborator.php lines 19-35",Medium,"mosticket,modernization",Communication,5,"- Collaborator junction object links User to Thread
- Active flag controls whether CC notifications are sent
- Collaborators can be added/removed by staff via UI
- Collaborators see the ticket in their portal ticket list
- Notifications respect the active/inactive toggle
- Duplicate collaborator additions are prevented
- Collaborator count is visible on the ticket detail view"
Story,,Thread & Communication,REQ-2.5: Thread Referrals,"A ThreadReferral allows granting temporary visibility of a ticket to agents/departments outside the primary assignment without changing ownership.

Source: include/class.thread.php lines 44-46",Medium,"mosticket,modernization",Communication,3,"- ThreadReferral object links Thread to a target Staff or Department
- Referred agents can view and add notes to the ticket
- Referral does not change ticket ownership or assignment
- Referrals can be revoked by the referring agent or admin
- Referred tickets appear in the agent's referred queue
- Referral creation fires a notification to the target agent/department"
Story,,Thread & Communication,REQ-2.6: Email Threading,"Outbound emails generate a Message-ID stored on the ThreadEntry. Inbound emails are matched via In-Reply-To and References headers using ThreadEntry::lookupByEmailHeaders() to continue existing threads.

Source: include/api.tickets.php lines 181-233",High,"mosticket,modernization",Email,8,"- Outbound emails include a unique Message-ID header stored on the ThreadEntry
- Inbound emails with In-Reply-To or References headers are matched to existing threads
- Matched inbound emails create a new ThreadEntry on the correct ticket
- Unmatched inbound emails create a new ticket
- Header matching handles multiple References entries
- Threading works across multiple reply chains
- Integration test confirms round-trip email threading"
Epic,Departments & Teams,,REQ-3: Departments & Teams,"Replicate department hierarchy, team structure, and help topic routing from osTicket. Source: include/class.dept.php, include/class.team.php, include/class.topic.php",High,"mosticket,modernization",Data-Model,,
Story,,Departments & Teams,REQ-3.1: Department Object,"The Dept class supports hierarchical structure via pid (parent ID). Key fields: name, manager_id (Staff lookup), sla_id, email_id, autoresp_email_id, ispublic, flags.

Department flags:
- FLAG_ASSIGN_MEMBERS_ONLY (0x0001): Restricts assignment dropdown to dept members
- FLAG_DISABLE_AUTO_CLAIM (0x0002): Prevents first-responder auto-assignment
- FLAG_ACTIVE (0x0004)
- FLAG_ARCHIVED (0x0008): Prevents ticket reopening

Source: include/class.dept.php lines 19-53, 73-76",High,"mosticket,modernization",Data-Model,8,"- Department object supports hierarchical parent/child via pid lookup
- Manager, SLA, Email, and Auto-Response Email lookups are functional
- All four flags are implemented and enforced
- ASSIGN_MEMBERS_ONLY restricts the assignment dropdown in UI
- DISABLE_AUTO_CLAIM prevents first-responder auto-assignment
- ARCHIVED departments prevent ticket reopening
- Public/private visibility controls client portal display
- Department CRUD operations work via admin UI"
Story,,Departments & Teams,REQ-3.2: Team Object,"Teams are cross-departmental groups. Fields: name, lead_id (Staff), flags (FLAG_NOALERTS to suppress alerts). Teams have a TeamMember junction to Staff. A team is available if active with at least one member.

Source: include/class.team.php lines 17-36, 82-100",Medium,"mosticket,modernization",Data-Model,5,"- Team object with name, lead_id (Staff lookup), and flags
- TeamMember junction links Staff to Team (many-to-many)
- FLAG_NOALERTS suppresses alert notifications for the team
- Team is only available for assignment if active and has >= 1 member
- Teams span across departments (no department restriction)
- Team CRUD and member management works via admin UI"
Story,,Departments & Teams,REQ-3.3: Help Topics,"The Topic class acts as a routing table. Each topic can specify: target department, priority override, SLA plan, auto-assign staff/team, custom forms to attach, custom ticket number format, and auto-response toggle. Topics support hierarchical nesting via topic_pid.

Source: include/class.topic.php lines 20-61, 137-164",High,"mosticket,modernization",Data-Model,8,"- Topic object with all routing fields (dept, priority, SLA, staff, team, forms)
- Hierarchical nesting via topic_pid is functional
- Ticket creation using a topic routes to the specified department
- Priority, SLA, and assignment overrides are applied on ticket creation
- Custom forms are attached to tickets based on topic configuration
- Auto-response toggle controls whether auto-reply is sent
- Custom ticket number format is applied per topic
- Topic CRUD works via admin UI with parent/child display"
Epic,SLA Plans & Business Hours,,REQ-4: SLA Plans & Business Hours,"Replicate SLA grace period calculation with business hours schedules and holiday support. Source: include/class.sla.php, include/class.schedule.php",High,"mosticket,modernization",Automation,,
Story,,SLA Plans & Business Hours,REQ-4.1: SLA Plan Object,"Fields: name, grace_period (hours), schedule_id, flags (FLAG_ACTIVE, FLAG_ESCALATE for priority escalation on overdue, FLAG_NOALERTS to suppress overdue notifications, FLAG_TRANSIENT to allow override on transfer/topic change).

Source: include/class.sla.php lines 18-29, include/staff/slaplan.inc.php lines 62-113",High,"mosticket,modernization",Data-Model,5,"- SLA Plan object with name, grace_period (hours), schedule lookup, and flags
- FLAG_ACTIVE controls whether the SLA is available for selection
- FLAG_ESCALATE triggers priority escalation when ticket becomes overdue
- FLAG_NOALERTS suppresses overdue notification emails
- FLAG_TRANSIENT allows SLA to be overridden on transfer or topic change
- SLA CRUD works via admin UI
- Grace period accepts decimal hours"
Story,,SLA Plans & Business Hours,REQ-4.2: SLA Selection Hierarchy,"SLA is selected in this priority order:
1. Filter-trumped SLA (from ticket filter action)
2. Department's SLA (dept.sla_id)
3. Help Topic's SLA (topic.sla_id)
4. System default SLA (cfg.default_sla_id)

Source: include/class.ticket.php lines 1456-1471",High,"mosticket,modernization",Automation,5,"- SLA resolution follows the documented 4-level priority order
- Filter-trumped SLA takes highest precedence
- Department SLA overrides Topic and System defaults
- Topic SLA overrides System default only
- System default SLA is used when no other SLA is specified
- Changing department or topic recalculates SLA if FLAG_TRANSIENT is set
- Unit tests verify each level of the hierarchy independently"
Story,,SLA Plans & Business Hours,REQ-4.3: Grace Period Calculation,"Sla::addGracePeriod() computes due date by:
1. Looking up the schedule (SLA-specific > department's > system default)
2. If a BusinessHoursSchedule exists, calling addWorkingHours() to skip weekends/holidays
3. If no schedule, simple addition: created + grace_period * 3600

Source: include/class.sla.php lines 47-66, include/class.ticket.php lines 546-562",High,"mosticket,modernization",Automation,8,"- Grace period calculation correctly uses the schedule hierarchy
- Business hours calculation skips non-working hours, weekends, and holidays
- Simple addition mode works when no schedule is defined
- Due date is stored on the ticket's est_duedate field
- Recalculation triggers when SLA or schedule changes
- Edge cases handled: ticket created outside business hours, multi-day grace periods spanning holidays
- Unit tests cover all calculation paths with known date/time fixtures"
Story,,SLA Plans & Business Hours,REQ-4.4: Schedules,"Schedule and BusinessHoursSchedule define working hours. Schedule entries support recurring patterns (daily, weekly, weekdays, weekends). Holidays are subtractive from business hours.

Source: include/class.schedule.php lines 33-43, 171-221",Medium,"mosticket,modernization",Data-Model,8,"- Schedule object with configurable time blocks
- BusinessHoursSchedule entries support daily, weekly, weekdays, weekends patterns
- Holiday records subtract from available business hours
- Schedule admin UI allows adding/editing time blocks and holidays
- addWorkingHours() correctly advances time skipping non-working periods
- Multiple schedules can coexist (per SLA, per department, system default)
- Unit tests verify schedule calculations across timezone boundaries"
Epic,Users & Organizations,,REQ-5: Users & Organizations,"Replicate osTicket user model with multi-email support, organization grouping, domain matching, and ticket sharing policies. Source: include/class.user.php, include/class.organization.php",High,"mosticket,modernization",Data-Model,,
Story,,Users & Organizations,REQ-5.1: User Model,"Users support multiple email addresses via UserEmailModel (one-to-many), with a default_email_id. Users can exist as guests (no account) or have a ClientAccount for portal login.

Permissions: PERM_CREATE, PERM_EDIT, PERM_DELETE, PERM_MANAGE, PERM_DIRECTORY.

Source: include/class.user.php lines 48-86, 88-122",High,"mosticket,modernization",Data-Model,8,"- User object supports multiple email addresses with a designated default
- Guest users (no account) can be associated with tickets
- ClientAccount enables portal login for a user
- All 5 user permissions are enforced
- User search works by any associated email address
- Duplicate email addresses across users are prevented
- User CRUD works via admin UI and API
- User merge consolidates emails and tickets"
Story,,Users & Organizations,REQ-5.2: Organization Model,"Organizations group users. Features:
- Domain Matching: Auto-add users based on email domain
- Ticket Sharing: SHARE_PRIMARY_CONTACT or SHARE_EVERYBODY
- Auto-Collaboration: COLLAB_ALL_MEMBERS adds all org members as collaborators on new tickets
- Account Manager: Can be a Staff or Team

Source: include/class.organization.php lines 42-47, 85-96",Medium,"mosticket,modernization",Data-Model,8,"- Organization object groups users with membership management
- Domain matching auto-associates new users based on email domain
- SHARE_PRIMARY_CONTACT limits ticket visibility to the primary contact
- SHARE_EVERYBODY allows all org members to see org tickets
- COLLAB_ALL_MEMBERS auto-adds all org members as collaborators on new tickets
- Account manager field accepts Staff or Team
- Organization CRUD works via admin UI"
Story,,Users & Organizations,REQ-5.3: CSV Import/Export,"Both Users and Organizations support bulk CSV import via CsvImport and export via the Export class.

Source: include/class.export.php lines 27-34",Low,"mosticket,modernization",Data-Model,3,"- CSV import parses and validates user/org data before insert
- Duplicate detection prevents creating duplicate users/orgs
- Import reports errors per row with line numbers
- CSV export includes all user/org fields with UTF-8 BOM for Excel
- Export respects current filter/search criteria
- Import supports 10,000+ records in a single batch"
Epic,Authentication & Authorization,,REQ-6: Authentication & Authorization,"Replicate dual auth registries (staff/client), 2FA, token-based guest access, role-based permissions, and brute-force protection. Source: include/class.auth.php",High,"mosticket,modernization",Security,,
Story,,Authentication & Authorization,REQ-6.1: Dual Authentication Registries,"Separate backend registries for Staff (StaffAuthenticationBackend) and Users (UserAuthenticationBackend). Each supports pluggable backends: local DB password, LDAP, OAuth2, SSO (REMOTE_USER).

Source: include/class.auth.php lines 528-535, 841-847",High,"mosticket,modernization",Security,13,"- Staff and User authentication use separate registries
- Local DB password authentication works for both registries
- LDAP backend authenticates against configured directory
- OAuth2 backend supports Azure AD, Google, and generic OIDC providers
- SSO via REMOTE_USER header is supported
- Backend selection is configurable per registry
- Failed auth attempts are logged with source and IP
- Unit tests verify each backend independently"
Story,,Authentication & Authorization,REQ-6.2: Two-Factor Authentication,"Staff login supports 2FA as a secondary verification step after primary auth. The TwoFactorAuthentication interface provides getInputForm() and validate().

Source: scp/login.php lines 88-112",Medium,"mosticket,modernization",Security,8,"- 2FA can be enabled per staff account
- After primary auth, user is prompted for 2FA code
- TOTP (Google Authenticator compatible) is supported
- Email-based OTP is supported as a fallback
- Invalid 2FA code returns clear error and allows retry
- 2FA setup wizard guides the user through configuration
- Admin can reset 2FA for a staff member
- 2FA bypass is available via admin for emergency access"
Story,,Authentication & Authorization,REQ-6.3: Token-Based Guest Access,"Clients without accounts can access specific tickets via AuthToken - a hash of ticket ID + user ID + system secret. Validated via TicketUser::lookupByToken().

Source: include/class.client.php lines 65-128",Medium,"mosticket,modernization",Security,5,"- Auth token is generated as hash of ticket_id + user_id + system secret
- Token URL grants read/reply access to the specific ticket only
- Token does not grant access to any other tickets
- Expired or tampered tokens are rejected
- Token links are included in notification emails to guest users
- Token validation performance is < 100ms"
Story,,Authentication & Authorization,REQ-6.4: Role-Based Permissions,"Roles define permission sets per department. A Department_Access junction links Staff + Department + Role. Permissions are checked via Role::hasPerm() for every ticket action.

Source: include/class.ticket.php lines 1486-1500",High,"mosticket,modernization",Security,8,"- Role object defines a named set of permissions
- StaffDeptAccess junction links Staff + Department + Role
- An agent can have different roles in different departments
- Every ticket action checks hasPerm() before execution
- Permission denied returns a clear error message
- Role CRUD works via admin UI with checkbox permission matrix
- Default roles (Admin, Agent, Limited) are seeded on install"
Story,,Authentication & Authorization,REQ-6.5: Brute-Force Protection,"AuthStrike lockout mechanism tracks failed login attempts and throttles after threshold is exceeded.

Source: include/class.auth.php lines 280-300",Medium,"mosticket,modernization",Security,3,"- Failed login attempts are tracked per username and IP
- Account is locked after configurable threshold (default 5 attempts)
- Lockout duration is configurable (default 30 minutes)
- Locked account returns a clear message without revealing if account exists
- Admin can manually unlock a locked account
- Successful login resets the strike counter
- Lockout events are logged for security audit"
Epic,Email System,,REQ-7: Email System,"Replicate full inbound/outbound email pipeline: IMAP/POP3 fetching, email-to-ticket, threaded replies, templates with merge fields, and banlist. Source: include/class.mailfetch.php, include/class.mailer.php",High,"mosticket,modernization",Email,,
Story,,Email System,REQ-7.1: Inbound Email (Email-to-Ticket),"The Fetcher class polls IMAP/POP3 mailboxes. For each message it:
1. Parses MIME via Mail_Parse (including TNEF/winmail.dat decoding)
2. Checks In-Reply-To/References headers for existing thread matching
3. If matched, posts as a reply; if not, creates a new ticket
4. Post-processing: mark as seen, archive, or delete from server

Source: include/class.mailfetch.php lines 78-99, include/api.tickets.php lines 181-233",High,"mosticket,modernization",Email,13,"- IMAP and POP3 mailbox polling works on configurable intervals
- MIME parsing handles multipart messages, inline images, and attachments
- TNEF/winmail.dat attachments are decoded correctly
- Existing thread matching via In-Reply-To/References headers works
- Matched messages are posted as replies to the correct ticket
- Unmatched messages create new tickets with correct sender as owner
- Post-processing (mark seen/archive/delete) is configurable per mailbox
- Malformed emails are logged and skipped without crashing the fetcher
- Integration test confirms end-to-end email-to-ticket flow"
Story,,Email System,REQ-7.2: Outbound Email,"Mailer class sends via SMTP or email relay. Supports:
- In-Reply-To / References headers for threading
- Attachment inclusion from thread entries
- Agent signature injection (personal or department)

Source: include/class.ticket.php lines 4681-4720",High,"mosticket,modernization",Email,8,"- Outbound emails are sent via configurable SMTP or relay
- In-Reply-To and References headers are set for threading
- File attachments from thread entries are included
- Agent personal signature is injected when configured
- Department signature is used as fallback
- HTML and plain-text multipart emails are generated
- Send failures are logged and retried once
- Email delivery status is tracked per thread entry"
Story,,Email System,REQ-7.3: Email Templates,"EmailTemplateGroup contains named templates for each event type:
- ticket.autoresp: New ticket created -> Ticket owner
- ticket.alert: New ticket created -> Staff
- message.alert: New client message -> Assigned agent/team
- ticket.reply: Agent responds -> Ticket owner + collaborators
- assigned.alert: Ticket assigned -> Assigned agent/team lead
- transfer.alert: Ticket transferred -> Target dept members
- ticket.overdue: SLA violation -> Assigned agent / dept manager
- note.alert: Internal note posted -> Assigned agent
- ticket.activity.notice: Ticket activity -> Ticket owner

Each template supports %{variable} merge fields resolved by VariableReplacer.

Source: include/class.template.php lines 30-118, include/class.variable.php lines 82-96",High,"mosticket,modernization",Email,8,"- All 9 template types are defined and editable via admin UI
- Each template supports %{variable} merge fields
- VariableReplacer resolves ticket, user, staff, department, and org variables
- Templates support HTML with rich text editor
- Default templates are seeded on install
- Template preview shows rendered output with sample data
- Missing merge fields render as empty strings, not raw tokens
- Templates can be cloned and customized per department"
Story,,Email System,REQ-7.4: Email Banlist,"BanList blocks ticket creation from specific email addresses/domains.

Source: include/class.ticket.php line 27, include/class.banlist.php",Low,"mosticket,modernization",Email,2,"- Ban rules can target specific email addresses or wildcard domains
- Banned sender's email-to-ticket creation is silently rejected
- Banned senders cannot create tickets via web portal
- Ban list is manageable via admin UI (add/remove/search)
- Ban check runs before any ticket creation logic
- Ban events are logged for audit purposes"
Epic,Ticket Filtering & Automation,,REQ-8: Ticket Filtering & Automation,"Replicate osTicket's rule-based ticket filter engine with ordered execution, match-all/any logic, and configurable actions. Source: include/class.filter.php, include/class.filter_action.php",High,"mosticket,modernization",Automation,,
Story,,Ticket Filtering & Automation,REQ-8.1: Filter Engine,"The Filter class evaluates incoming tickets against ordered rules. Each filter has:
- execorder (execution priority)
- match_all_rules or match_any_rules mode
- stop_onmatch flag to halt further processing
- isactive toggle

Source: include/class.filter.php lines 19-33, 152-158",High,"mosticket,modernization",Automation,8,"- Filters execute in execorder sequence during ticket creation
- match_all_rules mode requires all rules to match (AND logic)
- match_any_rules mode requires at least one rule to match (OR logic)
- stop_onmatch halts further filter evaluation when this filter matches
- isactive toggle enables/disables filters without deletion
- Filter evaluation completes within 500ms for 100+ active filters
- Admin UI supports drag-and-drop reordering of filter execution order"
Story,,Ticket Filtering & Automation,REQ-8.2: Filter Rules,"FilterRule defines criteria: field (what), operator (how), and value (val). Matches against ticket metadata like sender email, subject, headers, source.

Source: include/class.filter.php lines 88-102",Medium,"mosticket,modernization",Automation,5,"- Rules support matching on: sender email, subject, body, headers, source, help topic
- Operators include: equals, contains, starts with, ends with, regex match
- Multiple rules per filter are supported
- Rule evaluation is case-insensitive for text comparisons
- Admin UI provides field/operator/value builder for each rule
- Rules can be tested against sample ticket data via preview"
Story,,Ticket Filtering & Automation,REQ-8.3: Filter Actions,"FilterAction executes on match. Action types:
- FA_RejectTicket: Throw RejectedException, block creation
- FA_RouteDepartment: Route to specific department
- FA_AssignTopic: Set help topic
- FA_AssignAgent: Assign to staff
- FA_SetStatus: Set initial status
- Send canned response, set SLA, set priority

Source: include/class.filter_action.php lines 145-212",High,"mosticket,modernization",Automation,8,"- All action types from osTicket are implemented
- FA_RejectTicket blocks ticket creation and returns rejection notice
- FA_RouteDepartment overrides the target department
- FA_AssignTopic, FA_AssignAgent, FA_SetStatus apply correctly
- Canned response is sent when configured
- SLA and priority overrides are applied
- Multiple actions can execute on a single filter match
- Actions execute in defined order within a filter"
Story,,Ticket Filtering & Automation,REQ-8.4: Filter Integrity,"When a referenced object (department, agent, topic) is deleted, the system auto-disables affected filters and sets integrity flags (FLAG_INACTIVE_HT, FLAG_INACTIVE_DEPT, FLAG_DELETED_OBJECT).

Source: include/class.filter.php lines 35-38, 205-216",Medium,"mosticket,modernization",Automation,3,"- Deleting a department disables filters referencing it and sets FLAG_INACTIVE_DEPT
- Deleting a staff member disables filters assigning to them
- Deleting a help topic sets FLAG_INACTIVE_HT on affected filters
- Integrity flags are visible in the admin filter list
- Admin receives a warning when deleting objects referenced by active filters
- Disabled filters can be re-enabled after fixing the broken reference"
Epic,Dynamic Forms & Custom Fields,,REQ-9: Dynamic Forms & Custom Fields,"Replicate osTicket's EAV-based dynamic forms system with configurable field types, visibility controls, and CDATA materialization. Source: include/class.dynamic_forms.php, include/class.forms.php",High,"mosticket,modernization",Data-Model,,
Story,,Dynamic Forms & Custom Fields,REQ-9.1: EAV Architecture,"The forms system uses Entity-Attribute-Value pattern:
- DynamicForm: Form template definition
- DynamicFormField: Field definitions (label, type, sort order, required, visibility, configuration JSON)
- DynamicFormEntry: Instance of a filled form
- DynamicFormEntryAnswer: Individual field values

Field types: Text, TextArea, Dropdown, Checkbox, Date, Phone, Number, Thread (rich text with attachments), Priority, File Upload.

Source: include/class.dynamic_forms.php lines 29-40, 165-175",High,"mosticket,modernization",Data-Model,13,"- DynamicForm, DynamicFormField, DynamicFormEntry, DynamicFormEntryAnswer objects are created
- All 10 field types render correctly in forms
- Field configuration JSON supports type-specific settings (e.g., dropdown choices)
- Required fields block form submission when empty
- Sort order controls field display sequence
- Form entries link to their parent object (ticket, user, org)
- Admin UI supports form builder with drag-and-drop field ordering
- Adding a field to a form does not break existing entries"
Story,,Dynamic Forms & Custom Fields,REQ-9.2: Visibility Controls,"Fields have bitmask visibility: isVisibleToStaff(), isVisibleToUsers(), isRequiredForStaff(), isRequiredForUsers(), isRequiredForClose() (prevents ticket closure until filled).

Source: include/class.forms.php lines 103-119",Medium,"mosticket,modernization",Security,5,"- Each field has independent staff/user visibility toggles
- Fields marked staff-only are hidden from client portal
- Fields marked user-only are hidden from agent interface
- Required-for-staff enforces completion by agents
- Required-for-users enforces completion by clients
- Required-for-close prevents ticket closure until the field is filled
- Visibility settings are configurable per field via admin UI"
Story,,Dynamic Forms & Custom Fields,REQ-9.3: CDATA Materialization,"Dynamic form answers are flattened into *__cdata tables (e.g., ticket__cdata) for performant searching and sorting. This must be replicated as denormalized fields or a search index in Salesforce.

Source: include/class.ticket.php lines 4841-4855",Medium,"mosticket,modernization",Data-Model,8,"- Custom field values are denormalized for search and sort performance
- Updates to form answers automatically sync to the denormalized store
- Search by custom field value returns results within 2 seconds for 100K tickets
- Sort by custom field works in ticket list views
- Denormalized data is consistent with source form entry answers
- Rebuild/resync utility exists for data integrity recovery"
Epic,Tasks,,REQ-10: Tasks,"Replicate osTicket's task subsystem - tasks linked to tickets or standalone with their own threads and assignment. Source: include/class.task.php",Medium,"mosticket,modernization",Data-Model,,
Story,,Tasks,REQ-10.1: Task Object,"Tasks can be linked to a ticket (object_id + object_type='T') or standalone. Fields: number, dept_id, staff_id, team_id, flags (ISOPEN 0x0001, ISOVERDUE 0x0002), duedate, created, closed.

Permissions: PERM_CREATE, PERM_EDIT, PERM_ASSIGN, PERM_TRANSFER, PERM_CLOSE, PERM_DELETE.

Tasks have their own TaskThread (object_type 'A') for internal communication.

Source: include/class.task.php lines 20-67, 69-74",Medium,"mosticket,modernization",Data-Model,8,"- Task object with all specified fields exists
- Tasks can be linked to a ticket or exist standalone
- TaskThread provides internal communication per task
- All 6 task permissions are enforced
- Task overdue detection works similarly to ticket overdue
- Tasks appear in the ticket detail view when linked
- Standalone tasks have their own list view
- Task CRUD works via agent UI"
